,Kelembaban9am,Kelembaban3pm,Awan9am,Awan3pm,Hujan,bersalju_hari_ini,prediction
0,62.0,42.0,4.4508929235253,4.516139514731369,0.0,0,0
1,76.0,80.0,8.0,7.0,0.0,0,0
2,65.0,66.0,4.4508929235253,4.516139514731369,0.0,0,0
3,82.0,46.0,5.0,5.0,0.0,0,0
4,73.0,42.0,4.4508929235253,4.516139514731369,0.2,0,0
5,84.0,53.0,3.0,5.0,0.2,0,0
6,65.0,29.0,5.0,4.0,2.0,1,1
7,67.0,25.0,2.0,4.516139514731369,0.0,0,0
8,65.0,51.0,4.4508929235253,4.516139514731369,0.2,0,0
9,70.0,40.0,6.0,4.0,0.0,0,0
10,35.0,25.0,4.4508929235253,4.516139514731369,0.8,0,0
11,62.0,59.0,1.0,4.0,0.0,0,0
12,87.0,42.0,4.4508929235253,4.516139514731369,0.0,0,0
13,63.0,37.0,4.4508929235253,4.516139514731369,0.0,0,0
14,36.0,37.0,4.4508929235253,4.516139514731369,0.0,0,0
15,96.0,75.0,8.0,8.0,0.8,0,1
16,34.0,51.56762611023353,0.0,4.516139514731369,0.0,0,0
17,95.0,92.0,8.0,8.0,0.8,0,1
18,85.0,71.0,4.4508929235253,7.0,1.2,1,1
19,66.0,67.0,6.0,8.0,0.0,0,0
20,85.0,88.0,8.0,8.0,0.0,0,0
21,93.0,61.0,4.4508929235253,4.516139514731369,1.8,1,1
22,37.0,33.0,1.0,6.0,0.0,0,0
23,81.0,49.0,4.4508929235253,4.516139514731369,0.2,0,0
24,89.0,84.0,6.0,8.0,0.0,0,0
25,70.0,61.0,4.0,7.0,0.0,0,0
26,56.0,58.0,7.0,8.0,0.0,0,0
27,53.0,65.0,3.0,8.0,0.0,0,0
28,79.0,59.0,4.4508929235253,4.516139514731369,0.4,0,0
29,75.0,48.0,8.0,5.0,0.0,0,0
30,57.0,38.0,4.4508929235253,4.516139514731369,0.0,0,0
31,69.0,51.0,4.4508929235253,4.516139514731369,0.0,0,0
32,91.0,91.0,7.0,8.0,1.6,1,1
33,46.0,57.0,4.4508929235253,4.516139514731369,0.0,0,0
34,68.0,47.0,2.0,4.516139514731369,0.0,0,0
35,74.0,50.0,8.0,7.0,0.0,0,0
36,90.0,79.0,8.0,4.0,0.4,0,0
37,53.0,47.0,4.4508929235253,4.516139514731369,0.2,0,0
38,56.0,17.0,4.4508929235253,4.516139514731369,0.0,0,0
39,63.0,24.0,4.4508929235253,4.516139514731369,0.2,0,0
40,81.0,74.0,7.0,3.0,0.0,0,0
41,69.0,41.0,4.4508929235253,4.516139514731369,0.0,0,0
42,80.0,75.0,8.0,8.0,0.0,0,0
43,67.0,40.0,1.0,4.0,0.0,0,0
44,74.0,86.0,4.4508929235253,4.516139514731369,0.0,0,0
45,77.0,55.0,8.0,3.0,0.0,0,0
46,62.0,36.0,1.0,5.0,0.0,0,0
47,78.0,13.0,4.4508929235253,4.516139514731369,0.0,0,0
48,50.0,44.0,4.4508929235253,4.516139514731369,0.2,0,0
49,74.0,42.0,4.4508929235253,4.516139514731369,0.0,0,0
50,70.0,28.0,1.0,4.0,0.0,0,0
51,70.0,58.0,4.4508929235253,4.516139514731369,0.0,0,0
52,67.0,33.0,4.4508929235253,4.516139514731369,0.0,0,0
53,59.0,33.0,4.4508929235253,4.516139514731369,0.0,0,0
54,72.0,78.0,4.4508929235253,4.516139514731369,0.0,0,0
55,66.0,46.0,1.0,5.0,0.0,0,0
56,84.0,81.0,4.4508929235253,4.516139514731369,2.0,1,1
57,89.0,68.0,4.4508929235253,4.516139514731369,0.0,0,0
58,69.0,70.0,4.4508929235253,4.516139514731369,0.0,0,0
59,69.0,37.0,4.4508929235253,4.516139514731369,0.0,0,0
60,62.0,40.0,4.4508929235253,4.516139514731369,0.0,0,0
61,74.0,38.0,4.4508929235253,4.516139514731369,0.0,0,0
62,100.0,84.0,4.4508929235253,4.516139514731369,0.2,0,0
63,66.0,59.0,2.0,5.0,0.2,0,0
64,71.0,51.56762611023353,7.0,4.516139514731369,0.0,0,0
65,43.0,36.0,4.4508929235253,4.516139514731369,0.0,0,0
66,50.0,43.0,4.4508929235253,4.516139514731369,0.0,0,0
67,56.0,56.0,4.0,7.0,0.0,0,0
68,98.0,78.0,4.4508929235253,4.516139514731369,0.4,0,0
69,57.0,61.0,4.4508929235253,4.516139514731369,0.0,0,0
70,46.0,51.0,5.0,4.0,0.0,0,0
71,45.0,30.0,4.4508929235253,4.516139514731369,0.0,0,0
72,62.0,41.0,4.4508929235253,4.516139514731369,0.2,0,0
73,100.0,80.0,3.0,8.0,0.2,0,0
74,68.0,38.0,4.4508929235253,4.516139514731369,0.0,0,0
75,90.0,42.0,4.4508929235253,4.516139514731369,1.0,0,1
76,35.0,23.0,4.4508929235253,4.516139514731369,0.0,0,0
77,61.0,18.0,1.0,4.0,0.0,0,0
78,53.0,38.0,4.4508929235253,4.516139514731369,0.0,0,0
79,34.0,11.0,4.4508929235253,4.516139514731369,0.0,0,0
80,79.0,54.0,4.4508929235253,4.516139514731369,0.0,0,0
81,66.0,43.0,0.0,4.516139514731369,0.2,0,0
82,55.0,38.0,4.4508929235253,4.516139514731369,0.0,0,0
83,50.0,33.0,4.4508929235253,4.516139514731369,0.0,0,0
84,78.0,76.0,4.4508929235253,4.516139514731369,0.0,0,0
85,75.0,57.0,7.0,7.0,1.0,0,1
86,74.0,49.0,7.0,6.0,0.0,0,0
87,99.0,65.0,8.0,7.0,1.8,1,1
88,49.0,74.0,4.4508929235253,4.516139514731369,0.0,0,0
89,96.0,74.0,4.4508929235253,4.516139514731369,1.0,0,1
90,66.0,39.0,4.4508929235253,4.516139514731369,0.0,0,0
91,95.0,57.0,8.0,4.516139514731369,0.6,0,0
92,61.0,45.0,3.0,7.0,0.0,0,0
93,83.0,29.0,4.4508929235253,4.516139514731369,0.0,0,0
94,70.0,37.0,4.4508929235253,4.516139514731369,0.0,0,0
95,73.0,68.0,4.4508929235253,4.516139514731369,0.0,0,0
96,67.0,40.0,4.4508929235253,4.516139514731369,0.0,0,0
97,51.0,50.0,4.4508929235253,4.516139514731369,0.0,0,0
98,74.0,51.56762611023353,0.0,4.516139514731369,0.0,0,0
99,79.0,38.0,4.4508929235253,4.516139514731369,0.2,0,0
100,40.0,18.0,1.0,4.516139514731369,0.0,0,0
101,92.0,67.0,7.0,8.0,0.0,0,0
102,70.0,26.0,4.4508929235253,4.516139514731369,0.0,0,0
103,67.0,36.0,4.4508929235253,4.516139514731369,0.0,0,0
104,46.0,58.0,4.4508929235253,6.0,0.0,0,0
105,72.0,51.56762611023353,2.0,4.516139514731369,0.0,0,0
106,83.0,51.56762611023353,1.0,4.516139514731369,0.8,0,0
107,84.0,49.0,5.0,6.0,0.0,0,0
108,64.0,78.0,1.0,7.0,0.0,0,0
109,69.0,64.0,4.4508929235253,4.516139514731369,0.2,0,0
110,69.0,65.0,4.4508929235253,4.516139514731369,0.0,0,0
111,97.0,47.0,4.4508929235253,8.0,0.0,0,0
112,77.0,80.0,8.0,7.0,0.0,0,0
113,64.0,51.0,4.4508929235253,4.516139514731369,0.0,0,0
114,51.0,17.0,4.4508929235253,4.516139514731369,0.0,0,0
115,44.0,75.0,4.4508929235253,4.516139514731369,0.2,0,0
116,59.0,35.0,4.4508929235253,4.516139514731369,0.0,0,0
117,61.0,55.0,2.0,7.0,0.0,0,0
118,73.0,49.0,4.4508929235253,4.516139514731369,0.0,0,0
119,65.0,32.0,4.4508929235253,4.516139514731369,0.0,0,0
120,76.0,62.0,4.4508929235253,4.516139514731369,0.4,0,0
121,36.0,25.0,6.0,7.0,0.0,0,0
122,83.0,33.0,4.4508929235253,4.516139514731369,0.0,0,0
123,82.0,65.0,6.0,4.0,1.4,1,1
124,70.0,51.56762611023353,7.0,4.516139514731369,0.0,0,0
125,60.0,30.0,1.0,4.0,0.0,0,0
126,85.0,77.0,4.4508929235253,4.516139514731369,0.4,0,0
127,99.0,58.0,4.4508929235253,4.516139514731369,0.4,0,0
128,72.0,36.0,3.0,3.0,0.0,0,0
129,73.0,46.0,7.0,3.0,0.0,0,0
130,95.0,47.0,5.0,3.0,0.2,0,0
131,96.0,78.0,4.0,7.0,0.2,0,0
132,76.0,40.0,2.0,7.0,0.0,0,0
133,60.0,24.0,6.0,4.516139514731369,0.0,0,0
134,46.0,77.0,4.4508929235253,6.0,0.4,0,0
135,69.0,42.0,2.0,3.0,0.2,0,0
136,58.0,38.0,3.0,5.0,0.0,0,0
137,56.0,39.0,1.0,4.516139514731369,0.0,0,0
138,54.0,19.0,4.4508929235253,4.516139514731369,0.0,0,0
